	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
0	OOPS:xxxxxxx	Pseudomonas cichorii Bacterial leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1441629	Pseudomonas cichorii (Swingle 1925) Stapp 1928	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025034	leaf
1	OOPS:xxxxxxx	Ralstonia solanacearum Southern wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1457195	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
4	OOPS:xxxxxxx	Alternaria alternata Alternaria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:187775	Alternaria alternata (Fr.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025034	leaf
8	OOPS:xxxxxxx	Thielaviopsis basicola Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:124036	Thielaviopsis basicola (Berk. & Broome) Ferraris	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
9	OOPS:xxxxxxx	Chalara elegans Nag Raj & Kendr. [synanamorph] Black root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:301394	Chalara elegans Nag Raj & Kendr. [synanamorph]	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
10	OOPS:xxxxxxx	Botrytis cinerea Pers. Botrytis blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
12	OOPS:xxxxxxx	Cercospora gerberae Chupp & Viegas Cercospora leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1247214	Cercospora gerberae Chupp & Viegas	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025034	leaf
13	OOPS:xxxxxxx	Plasmopara sp. Downy mildew of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:4780	Plasmopara sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
14	OOPS:xxxxxxx	Fusarium solani Fusarium crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
15	OOPS:xxxxxxx	Fusarium oxysporum Schlechtend. Fusarium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
17	OOPS:xxxxxxx	Fusarium oxysporum Schlechtend. Fusarium wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
19	OOPS:xxxxxxx	Nectria haematococca Berk. & Broome Nectria canker of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:140110	Nectria haematococca Berk. & Broome	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
20	OOPS:xxxxxxx	Phyllosticta sp. Phyllosticta leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1236105	Phyllosticta sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0025034	leaf
21	OOPS:xxxxxxx	Phytophthora cryptogea Pethybr. & Lafferty Phytophthora crown and root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:4786	Phytophthora cryptogea Pethybr. & Lafferty	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
22	OOPS:xxxxxxx	Phytophthora parasitica Dastur Phytophthora crown and root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1317066	Phytophthora parasitica Dastur	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
24	OOPS:xxxxxxx	Sphaerotheca sp. Powdery mildew of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:57463	Sphaerotheca sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
25	OOPS:xxxxxxx	Pythium spp. Pythium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:944628	Pythium spp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
26	OOPS:xxxxxxx	Rhizoctonia solani Kühn Rhizoctonia root and crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0009005	root
27	OOPS:xxxxxxx	Rhizopus stolonifer Rhizopus blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	http://purl.obolibrary.org/obo/PO_0000003	whole plant
