defined_class	disease	pathogen	host	plantstructure	synonyms	altid	orcid	source	comment
PSO:0000177	wheat bacterial disease	NCBITaxon:2	NCBITaxon:4565	PO:0009011		PDO:0000008			
PSO:0000179	wheat fungal disease	NCBITaxon:4751	NCBITaxon:4565	PO:0009011		PDO:0000009			
PSO:0000180	wheat viral disease	NCBITaxon:10239	NCBITaxon:4565	PO:0009011		PDO:0000010			
PSO:0000185	wheat oomycete disease	NCBITaxon:4762	NCBITaxon:4565	PO:0009011					
PSO:0000178	wheat bacterial leaf blight disease	NCBITaxon:321	NCBITaxon:4565	PO:0009025		PDO:0000061	PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Symptoms include small, dark-brown lesions surrounded by yellow halo; water soaking along lesion margins.
PSO:0000700	wheat bacterial leaf streak disease	NCBITaxon:487909	NCBITaxon:4565	PO:0009011	BLS		PSO:cooperl	APSNET:Wheat	
PSO:0000701	wheat bacterial mosaic disease	NCBITaxon:31965	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000702	wheat bacterial sheath rot disease	NCBITaxon:50340	NCBITaxon:4565	PO:0020104			PSO:cooperl	APSNET:Wheat	
PSO:0000703	wheat basal glume rot bacterial disease	NCBITaxon:192087	NCBITaxon:4565	PO:0009039			PSO:cooperl	APSNET:Wheat	
PSO:0000704	wheat gumming bacterial disease	NCBITaxon:59737	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000705	wheat pink seed bacterial disease	NCBITaxon:55212	NCBITaxon:4565	PO:0030104			PSO:cooperl	APSNET:Wheat	
PSO:0000706	wheat spike blight bacterial disease	NCBITaxon:33888	NCBITaxon:4565	PO:0030117			PSO:cooperl	APSNET:Wheat	
PSO:0000707	wheat stem melanosis bacterial disease	NCBITaxon:36746	NCBITaxon:4565	PO:0009047			PSO:cooperl	APSNET:Wheat	
PSO:0000708	wheat Alternaria leaf blight fungal disease	NCBITaxon:216836	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000709	wheat Anthracnose fungal disease	NCBITaxon:343994	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000710	wheat blast disease fungal disease	NCBITaxon:318829	NCBITaxon:4565	PO:0009011			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: The pathogen produces lessions on all aboveground parts of plant, but spike infection results in greatest damage. Lessions are round to elliptical with gray centers and reddish brown margins. Severely infected seedlings may die.
PSO:0000711	wheat leaf rust fungal disease	NCBITaxon:208348	NCBITaxon:4565	PO:0009025	brown rust		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: brown rust uredinial pustules turn into black telial pustules in late plant growth stages.
PSO:0000712	wheat stripe rust fungal disease	NCBITaxon:27350	NCBITaxon:4565	PO:0009025	yellow rust		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: yellow to orange rust pustules tending to form stripes in late plant growth stages and turn into black telial pustules.
PSO:0000713	wheat stem rust fungal disease	NCBITaxon:56615	NCBITaxon:4565	PO:0009025|PO:0009047	black rust		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: red uredinial pustules turn into black telial pustules few days after uredinial pustules development.
PSO:0000714	wheat fusarium head blight fungal disease	NCBITaxon:5518	NCBITaxon:4565	PO:0030117	scab		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: one or more spikes or entire heads become bleached, superficial, often pink or organge masses of macrocondinia may be seen on and especially in the base of diseased spikelets. Small dark (blue black) perithesia will often be evident  sometimes after the ntial infection and especially abandant on on infected spikelets, notes, and crowns.
PSO:0000715	wheat Aureobasidium decay fungal disease	NCBITaxon:196109	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000716	wheat brown root rot fungal disease	NCBITaxon:1077376	NCBITaxon:4565	PO:0025025			PSO:cooperl	APSNET:Wheat	
PSO:0000717	wheat Cephalosporium stripe fungal disease	NCBITaxon:259995	NCBITaxon:4565	PO:0000003			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: The fungus is soilborne. The disease tends to be more prevalent in low, wet areas of fields and in plants grown in acid soil. Under severe conditions, plant stands may be reduced as a result of of pre- or postemergence infection. Infected seedling leaves sometimes have mosaic-like yellowing in late winter or early spring. During jointing and heading, conspicuous, chlorotic, longitudinal stripes appear on leaves. The stripes may initially be diffuse or mottles but eventually become prominently yellow and necrotic on maturing green leaves, usually only one to three stripes and discolored veins are present per leaf.
PSO:0000718	wheat common bunt fungal disease	NCBITaxon:13290|NCBITaxon:157183	NCBITaxon:4565	PO:0030117|PO:0030104			PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Dark-colored bunt spores replace kernels.
PSO:0000719	wheat common root rot fungal disease	NCBITaxon:45130	NCBITaxon:4565	PO:0025025	Seedling blight		PSO:cooperl	APSNET:Wheat	
PSO:0000720	wheat cottony snow mold fungal disease	NCBITaxon:258227	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000721	wheat damping-off fungal disease	NCBITaxon:166626	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000722	wheat Dilophospora leaf spot fungal disease	NCBITaxon:2081285	NCBITaxon:4565	PO:0009011	Twist		PSO:cooperl	APSNET:Wheat	
PSO:0000723	wheat dwarf bunt fungal disease	NCBITaxon:13291	NCBITaxon:4565	PO:0009011	dwarf smut|stinking smut		PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Only impacts winter wheat; prolonged period of snow cover required for fungal germination; dark-colored bunt spores replace kernels; bunt spores give fishy odor; tiller number increases; plants become shorter ("dwarfed").
PSO:0000724	wheat ergot fungal disease	NCBITaxon:5111	NCBITaxon:4565	PO:0030117|PO:0030104			PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Developing mycellium destroys ovary; hard, dry kernel-like fruiting body develops in floret.
PSO:0000725	wheat eyespot fungal disease	NCBITaxon:86028	NCBITaxon:4565	PO:0008039	strawbreaker|foot rot		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs:  The fungus infects stem base producing elliptical lessions of "eye" shapes. yellowish brown to tan brown and oriented lengthwise with the stem. A diagnotic weft of gray mycelium sometimes appears in the lumen of the stem beneath a lession.
PSO:0000726	wheat flag smut fungal disease	NCBITaxon:265355	NCBITaxon:4565	PO:0009025	leaf smut|stem smut|stripe smut		PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Following the heading stage, dark-colored sori erupt from leaf tissue.
PSO:0000727	wheat halo spot fungal disease	NCBITaxon:2082705	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000728	wheat karnal bunt fungal disease	NCBITaxon:43049	NCBITaxon:4565	PO:0030117|PO:0030104	partial bunt		PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Kernels are partially hollowed out and filled with dark-colored bunt spores.
PSO:0000729	wheat Leptosphaeria leaf spot fungal disease	NCBITaxon:178154	NCBITaxon:4565	PO:0009011				APSNET:Wheat|PSO:cooperl	
PSO:0000730	wheat loose smut fungal disease	NCBITaxon:117174	NCBITaxon:4565	PO:0030117|PO:0030104			PSO:cooperl|0000-0002-9013-5974|0000-0003-1154-337X	APSNET:Wheat	Infected heads develop early than unfected heads; dark-colored spores replace kernels.
PSO:0000731	wheat Microscopica leaf spot fungal disease	NCBITaxon:28989	NCBITaxon:4565	PO:0009011			PSO:cooperl	APSNET:Wheat	
PSO:0000732	wheat powdery mildew fungal disease	NCBITaxon:34373	NCBITaxon:4565	PO:0009025			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: effuse patches (colonies) of cottony mycelium and conidia on the surface of plant, initially white and sporulating and late turning gray brown. As the powdery mildew colonies mature, the fungus produses cleiostothesia as distinct as brown black dots.
PSO:0000733	wheat Septoria tritici blotch fungal disease	NCBITaxon:1047171	NCBITaxon:4565	PO:0009025			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: lessions on leaves re broadly elliptical with a tan center and usually have a distinct yellow margin. Pycinia are readily visible as small, black specks in the necrotic ares of the lession.
PSO:0000734	wheat tan spot fungal disease	NCBITaxon:45151	NCBITaxon:4565	PO:0009025	Yellow leaf spot|Red smudge		PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: oval to diamond -shaped lesions with tan necrotic spots, brown centers, and yellow holos.
PSO:0000735	wheat Stagonospora nodorum blotch fungal disease	NCBITaxon:13684	NCBITaxon:4565	PO:0009025|PO:0009039			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: dark, elongated lesions on coleoptiles of emerged seedlings. Foliar lessions begin as yellow flecks, becoming brown or grayish brown, elongated, and often lens-shaped, surrounded by diffuse yellow areas. Glume infection by S. nodorum results in purple brown or grayish brown streaks and blotches, starting at the glume tips. often with prominent pycnidia evident.
PSO:0000736	wheat Stagonospora avenae blotch fungal disease	NCBITaxon:54790	NCBITaxon:4565	PO:0009025			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: similar to those caused by S. nodorum, except  not much infection on glumes.
PSO:0000737	wheat pink snow mold fungal disease	NCBITaxon:5520	NCBITaxon:4565	PO:0000003			PSO:cooperl|0000-0002-9013-5974	APSNET:Wheat	Symptoms and signs: The most important feature is visible pink color of affected plants and the presence of orange sporodochia at snow melt, containing numerous small conidia.
